name,year,genres,rating
Uncharted: The Lost Legacy,(2017 Video Game),"Action, Adventure, Thriller",8.5
Genshin Impact,(2020 Video Game),"Action, Adventure, Fantasy",7.7
Mafia II,(2010 Video Game),"Action, Crime, Drama",8.5
Halo 2,(2004 Video Game),"Action, Adventure, Sci-Fi",8.7
Fainaru fantajî XIII,(2009 Video Game),"Action, Adventure, Drama",7.2
Bully,(2006 Video Game),"Action, Crime, Drama",8.6
Tiny Tina's Wonderlands,(2022 Video Game),"Action, Adventure, Comedy",8.0
Predator: Hunting Grounds,(2020 Video Game),"Action, Adventure, Horror",6.1
Call of Duty 4: Modern Warfare,(2007 Video Game),"Action, Thriller",9.0
Rise of the Tomb Raider,(2015 Video Game),"Action, Adventure, Fantasy",8.5
Uncharted 3: Drake's Deception,(2011 Video Game),"Action, Adventure, Fantasy",9.0
Wolfenstein II: The New Colossus,(2017 Video Game),"Action, Adventure, Drama",7.9
Watch Dogs: Legion,(2020 Video Game),"Action, Crime, Drama",6.6
Dishonored,(2012 Video Game),"Action, Adventure, Fantasy",8.4
Valorant,(2020 Video Game),"Action, Adventure, Game-Show",6.5
Disney Speedstorm,(2023 Video Game),"Action, Family, Sport",7.4
Mortal Kombat X,(2015 Video Game),"Action, Adventure, Fantasy",8.2
Star Wars Outlaws,(2024 Video Game),"Action, Adventure, Sci-Fi",
Star Wars: Battlefront II,(2017 Video Game),"Action, Adventure, Fantasy",7.2
Lego Star Wars: The Skywalker Saga,(2022 Video Game),"Action, Adventure, Comedy",8.7
Half-Life 2,(2004 Video Game),"Action, Adventure, Sci-Fi",9.4
Biohazard 5,(2009 Video Game),"Action, Adventure, Fantasy",7.7
Apex Legends,(2019 Video Game),"Action, Sci-Fi",7.4
Ryu ga gotoku 7: Hikari to yami no yukue,(2020 Video Game),"Action, Comedy, Crime",8.6
Metal Gear Solid 4: Guns of the Patriots,(2008 Video Game),"Action, Adventure, Drama",9.4
Max Payne,(2001 Video Game),"Action, Crime, Drama",9.2
Assassin's Creed,(2007 Video Game),"Action, Adventure, Sci-Fi",8.0
Sekiro: Shadows Die Twice,(2019 Video Game),"Action, Adventure, Fantasy",8.8
MultiVersus,(2022 Video Game),"Action, Fantasy, Sci-Fi",6.9
Overwatch 2,(2022 Video Game),"Action, Adventure, Fantasy",5.7
Quantum Break,(2016 Video Game),"Action, Mystery, Sci-Fi",7.7
